83	89	230	251	4	浪濤岩灣(LV90~90)
84	90	279	170	4	湛藍深洋(LV83~100)入口
85	90	289	18	4,19	湛藍深洋(LV83~100)副本進入點
86	91	272	161	4	沉沒遺跡(LV93~100)
87	92	237	42	4	晴空海岸(LV59~70)
88	93	285	169	4	幻惑之海(LV68~95)
89	94	282	12	4	怒海環礁(LV86~88)
90	95	280	170	4	靜謐海域(LV100~100)入口
91	95	84	148	4	靜謐海域(LV100~100)復活圖騰區
92	96	280	11	4	惡礁峽谷(LV91~98)入口
93	96	35	151	4,19	惡礁峽谷(LV91~98)副本進入點
94	102	22	161	5	風林河谷(LV65~85)
95	103	235	256	5	隱流祕穴(LV76~95)
96	104	16	159	5	觀瀑營地(LV82~100)入口
97	104	234	97	5	觀瀑營地(LV82~100)重生點
98	104	198	159	5	觀瀑營地(LV82~100)復活圖騰區
99	105	13	169	5	喧嘩雨林(LV87~105)
100	106	11	12	5	古溜溜流域(LV89~110)
101	107	282	13	5	半獸部落(LV95~115)入口
102	107	283	162	5,19	半獸部落(LV95~115)副本進入點
103	108	14	13	5	溼熱林(LV100~120)入口
104	108	128	74	5	溼熱林(LV100~120)重生點
105	108	212	63	5	溼熱林(LV100~120)復活圖騰區
106	109	19	6	5	巨木梯道(LV100~120)入口
107	109	287	166	5,19	巨木梯道(LV100~120)副本進入點
108	114	26	36	20	報名檢錄處
109	120	32	20	6	月牙峽谷(LV80~90)
110	121	18	164	6	荒漠賽道(LV85~95)入口
111	121	90	22	6	荒漠賽道(LV85~95)重生點
112	121	68	12	6	荒漠賽道(LV85~95)復活圖騰區
113	122	16	20	6	鬼影寨(LV90~100)
114	123	13	167	6	人馬崗哨(LV95~105)
115	124	24	18	6	遠古戰地(LV100~110)入口
116	124	281	22	6	遠古戰地(LV100~110)重生點
117	124	261	30	6	遠古戰地(LV100~110)復活圖騰區
118	125	30	18	6	迷幻沙都(LV105~115)
119	126	20	23	6	千夜魔宮(LV110~125)入口
120	126	34	219	6,19	千夜魔宮(LV110~125)副本進入點
